                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1915,                 3.3979,                 1.3697,                0.00333,                      1,                0.30389,                 0.1198,                 1.0982,                 3.1978,                 1.2201,                 0.0001,                 0.0001,                 0.0001
                      2,                0.99531,                 2.9092,                 1.2173,                0.00333,                      1,                  0.995,                0.62388,                0.92945,                 2.8344,                 1.1455,             0.00021855,             0.00021855,             0.00021855
                      3,                0.66896,                 1.6321,                0.97958,                0.00333,                      1,                  0.995,                0.74543,                0.73447,                 2.6471,                0.93928,             0.00033551,             0.00033551,             0.00033551
                      4,                0.69731,                 1.3656,                 1.0068,                0.00333,                      1,                  0.995,                 0.7729,                0.75389,                 2.6684,                0.97778,             0.00045089,             0.00045089,             0.00045089
                      5,                0.69592,                 1.3525,                  1.018,                0.00333,                      1,                  0.995,                 0.7772,                0.64195,                 2.5727,                0.90071,             0.00056469,             0.00056469,             0.00056469
                      6,                0.73561,                 1.2614,                 1.0321,                0.00333,                      1,                  0.995,                0.64662,                0.85084,                 2.6738,                 1.0622,              0.0006769,              0.0006769,              0.0006769
                      7,                0.68298,                 1.3549,                0.98139,                0.00333,                      1,                  0.895,                0.57067,                 1.1451,                 2.5706,                 1.2056,             0.00078753,             0.00078753,             0.00078753
                      8,                0.68248,                  1.191,                0.96569,                0.98893,                      1,                  0.995,                0.90158,                 0.4622,                 1.3622,                0.82928,             0.00089657,             0.00089657,             0.00089657
                      9,                 0.6682,                  1.113,                0.95719,                0.98721,                      1,                  0.995,                0.80787,                0.80763,                 1.3376,                 0.9492,               0.001004,               0.001004,               0.001004
                     10,                0.67585,                 1.1147,                0.96805,                0.98639,                      1,                  0.995,                0.78332,                0.78591,                 1.3246,                0.90894,              0.0011099,              0.0011099,              0.0011099
                     11,                 0.5862,                 1.0164,                0.91056,                      1,                0.98841,                  0.995,                0.83724,                0.64719,                 1.4684,                0.86377,              0.0012142,              0.0012142,              0.0012142
                     12,                0.61823,                0.95954,                0.95522,                0.96275,                      1,                  0.995,                0.82079,                0.74512,                 1.3383,                0.90325,              0.0013169,              0.0013169,              0.0013169
                     13,                0.67361,                 1.1011,                 0.9625,                0.99155,                      1,                  0.995,                0.82053,                0.94687,                 1.4324,                0.98013,               0.001418,               0.001418,               0.001418
                     14,                0.70826,                  1.082,                0.95545,                0.98541,                      1,                  0.995,                0.90778,                0.63846,                 1.0261,                0.86841,              0.0015176,              0.0015176,              0.0015176
                     15,                0.61747,                0.94776,                 0.9537,                0.98768,                      1,                  0.995,                0.87656,                0.57205,                 0.9225,                0.86135,              0.0016155,              0.0016155,              0.0016155
                     16,                0.68118,                0.94475,                0.97396,                0.98795,                      1,                  0.995,                0.85191,                0.67821,                0.77666,                0.90098,              0.0017119,              0.0017119,              0.0017119
                     17,                0.73427,                  1.041,                 1.0018,                 0.9885,                      1,                  0.995,                0.76882,                0.69547,                 0.8008,                0.90482,              0.0017888,              0.0017888,              0.0017888
                     18,                0.71106,                      1,                0.97959,                0.98961,                      1,                  0.995,                0.86011,                0.54218,                0.66665,                0.84544,              0.0017756,              0.0017756,              0.0017756
                     19,                0.68504,                0.99108,                0.99626,                0.98951,                      1,                  0.995,                0.94504,                0.33923,                0.55682,                0.80391,              0.0017624,              0.0017624,              0.0017624
                     20,                0.62008,                0.86469,                0.98011,                0.99015,                      1,                  0.995,                0.86419,                 0.4975,                0.66338,                0.85085,              0.0017492,              0.0017492,              0.0017492
                     21,                0.60272,                0.83111,                 0.9669,                0.99111,                      1,                  0.995,                0.88881,                0.49402,                0.64729,                0.84708,               0.001736,               0.001736,               0.001736
                     22,                0.61282,                0.83188,                0.97669,                0.98582,                      1,                  0.995,                 0.8955,                 0.5065,                 0.6757,                0.83107,              0.0017228,              0.0017228,              0.0017228
                     23,                0.59842,                0.80734,                0.92513,                0.89531,                      1,                  0.995,                0.87656,                 0.5461,                0.69533,                0.85088,              0.0017096,              0.0017096,              0.0017096
                     24,                 0.6154,                0.84984,                0.96228,                0.98579,                      1,                  0.995,                0.93254,                0.44865,                0.79772,                0.81872,              0.0016964,              0.0016964,              0.0016964
                     25,                0.59442,                0.79318,                0.94473,                0.82692,                      1,                  0.995,                0.93254,                0.49746,                0.76728,                0.83231,              0.0016832,              0.0016832,              0.0016832
                     26,                0.61662,                0.77023,                0.96434,                0.96707,                      1,                  0.995,                0.89506,                0.62868,                0.61414,                  0.919,                0.00167,                0.00167,                0.00167
                     27,                 0.5979,                0.76002,                 0.9444,                0.97103,                      1,                  0.995,                 0.9037,                0.49928,                0.60858,                0.85194,              0.0016568,              0.0016568,              0.0016568
                     28,                0.64604,                0.80557,                0.95824,                0.98648,                      1,                  0.995,                0.92003,                0.47523,                0.56129,                0.83165,              0.0016436,              0.0016436,              0.0016436
                     29,                0.56951,                0.69233,                 0.8965,                0.98792,                      1,                  0.995,                0.90166,                0.48354,                0.53241,                0.83237,              0.0016304,              0.0016304,              0.0016304
                     30,                0.56767,                0.70314,                0.94515,                0.98216,                      1,                  0.995,                0.93671,                0.40887,                 0.6293,                 0.8164,              0.0016172,              0.0016172,              0.0016172
                     31,                0.55748,                 0.6967,                0.95643,                0.97402,                      1,                  0.995,                0.87842,                0.51596,                0.85915,                0.84804,               0.001604,               0.001604,               0.001604
                     32,                0.53242,                0.66935,                0.93482,                   0.97,                      1,                  0.995,                0.92003,                0.43578,                0.72534,                0.81529,              0.0015908,              0.0015908,              0.0015908
                     33,                0.52428,                0.62414,                0.91539,                0.97589,                      1,                  0.995,                0.92003,                0.44315,                0.68131,                 0.8206,              0.0015776,              0.0015776,              0.0015776
